date,symbol,weight,asset_return,return_contribution,start_value,pnl_contribution,is_rebalance,signal_date
2020-01-16,A,0.06666666666666668,0.009478631368277979,0.0006319087578851988,1000000.0,631.9087578851987,True,2020-01-15
2020-01-16,NEE,0.06666666666666668,0.0027426760330084843,0.0001828450688672323,1000000.0,182.84506886723233,True,2020-01-15
2020-01-16,NEM,0.06666666666666668,0.006893364749655628,0.000459557649977042,1000000.0,459.55764997704205,True,2020-01-15
2020-01-16,NFLX,0.06666666666666668,-0.001327218027484256,-8.848120183228375e-05,1000000.0,-88.48120183228376,True,2020-01-15
2020-01-16,NKE,0.06666666666666668,0.005642589997944869,0.000376172666529658,1000000.0,376.17266652965804,True,2020-01-15
2020-01-16,NSC,0.06666666666666668,0.01656070097323381,0.0011040467315489209,1000000.0,1104.0467315489211,True,2020-01-15
2020-01-16,NTAP,0.06666666666666668,0.018538631667726957,0.001235908777848464,1000000.0,1235.908777848464,True,2020-01-15
2020-01-16,NTRS,0.06666666666666668,0.00850311802143322,0.0005668745347622147,1000000.0,566.8745347622148,True,2020-01-15
2020-01-16,OXY,0.06666666666666668,-0.012484134014856041,-0.0008322756009904029,1000000.0,-832.275600990403,True,2020-01-15
2020-01-16,PEP,0.06666666666666668,0.0029454286716819045,0.00019636191144546032,1000000.0,196.36191144546035,True,2020-01-15
2020-01-16,PLD,0.06666666666666668,0.012363077767781894,0.0008242051845187931,1000000.0,824.2051845187932,True,2020-01-15
2020-01-16,VLO,0.06666666666666668,-0.0030348880643145115,-0.0002023258709543008,1000000.0,-202.32587095430083,True,2020-01-15
2020-01-16,VMC,0.06666666666666668,0.001503590502447416,0.00010023936682982776,1000000.0,100.23936682982777,True,2020-01-15
2020-01-16,VRSK,0.06666666666666668,0.012039103281375585,0.0008026068854250391,1000000.0,802.6068854250392,True,2020-01-15
2020-01-16,VRSN,0.06666666666666668,0.008500933910794872,0.0005667289273863249,1000000.0,566.7289273863249,True,2020-01-15
2020-01-17,A,0.06690222165612988,0.007377639938115355,0.0004935805024389098,1002543.5908507631,494.8359692890285,False,
2020-01-17,NEE,0.06645580271975758,0.0044792864981402225,0.0002976745798456804,1002543.5908507631,298.43174218348065,False,
2020-01-17,NEM,0.06673088560702023,-0.007759017684978442,-0.0005177661215591433,1002543.5908507631,-519.0831067287763,False,
2020-01-17,NFLX,0.06618607442032544,0.003100807505475034,0.00020523027632047427,1002543.5908507631,205.75229817362262,False,
2020-01-17,NKE,0.0666479917179565,0.011221785836251108,0.0007479094894751455,1002543.5908507631,749.8118652097734,False,
2020-01-17,NSC,0.06737157898155705,0.014884883996212128,0.0010028181377821199,1002543.5908507631,1005.3688968223619,False,
2020-01-17,NTAP,0.06750266442866956,-0.045273771930571804,-0.003056100234049508,1002543.5908507631,-3063.8737026438516,False,
2020-01-17,NTRS,0.06683757045091253,0.01343460524545792,0.0008979363745734928,1002543.5908507631,900.2203573204253,False,
2020-01-17,OXY,0.06544666058511207,-0.017998636615537023,-0.0011779506615718217,1002543.5908507631,-1180.9468860972463,False,
2020-01-17,PEP,0.06646923995513078,0.011818593863411442,0.0007855729514393313,1002543.5908507631,787.5711276112193,False,
2020-01-17,PLD,0.06709338555636349,0.009855363513480597,0.0006612297040080709,1002543.5908507631,662.9116018334386,False,
2020-01-17,VLO,0.06607290023736657,-0.008262688720299782,-0.0005459398075087816,1002543.5908507631,-547.3284550082284,False,
2020-01-17,VMC,0.06637368352253978,0.008865414573905994,0.0005884302212245483,1002543.5908507631,589.9269469515675,False,
2020-01-17,VRSK,0.06707191446006984,-6.224780136965258e-05,-4.175079208792756e-06,1002543.5908507631,-4.185698902069452,False,
2020-01-17,VRSN,0.0668374257010887,0.0021541946629679565,0.0001439808257318026,1002543.5908507631,144.34705404281934,False,
2020-01-21,A,0.06736061087656153,-0.005659144703585972,-0.00038120344427240884,1003067.3508608207,-382.37272898534565,False,
2020-01-21,NEE,0.06671862141289554,0.013772773622791945,0.0009189004691445696,1003067.3508608207,921.7190592896087,False,
2020-01-21,NEM,0.06617854575110727,0.00528977793601193,0.0003500698111515633,1003067.3508608207,351.14359808814635,False,
2020-01-21,NFLX,0.06635663792139318,-0.004592640925760727,-0.0003047522110136765,1003067.3508608207,-305.68699297046635,False,
2020-01-21,NKE,0.0673607098737052,0.00047836078007978955,3.2222721721914e-05,1003067.3508608207,32.3215601151257,False,
2020-01-21,NSC,0.0683386948557851,-0.022453717000646467,-0.0015344577144853332,1003067.3508608207,-1539.1644346767528,False,
2020-01-21,NTAP,0.06441291288189237,-0.029798091160144646,-0.001919381849945084,1003067.3508608207,-1925.2692675147568,False,
2020-01-21,NTRS,0.06770013816384458,-0.0074053536197948855,-0.0005013434632122404,1003067.3508608207,-502.8812595156912,False,
2020-01-21,OXY,0.06423515147890833,-0.032947896048463265,-0.002116413093584363,1003067.3508608207,-2122.9048751088217,False,
2020-01-21,PEP,0.06721969524328046,0.004247530276426437,0.00028551769071799186,1003067.3508608207,286.39347365239524,False,
2020-01-21,PLD,0.06771923662110096,0.013790210014327231,0.0009338624950149018,1003067.3508608207,936.7269789428741,False,
2020-01-21,VLO,0.06549274497919605,-0.01063364621489371,-0.0006964266797510272,1003067.3508608207,-698.56286472666,False,
2020-01-21,VMC,0.0669271489157916,0.004748055885814839,0.00031777384333043054,1003067.3508608207,318.74856720231645,False,
2020-01-21,VRSK,0.06703271939957813,0.004671441829610101,0.0003131394493557058,1003067.3508608207,314.09995791524386,False,
2020-01-21,VRSN,0.06694643162495968,0.0020560861747955794,0.00013764763251597717,1003067.3508608207,138.06984610006498,False,
2020-01-22,A,0.0672595329174943,0.0058028862797077085,0.00039029942074647665,998889.731478628,389.86608358571215,False,
2020-01-22,NEE,0.06792039977483777,0.01171699589867714,0.000795823045598286,998889.731478628,794.9394683221758,False,
2020-01-22,NEM,0.06680685571738779,0.0016014572475497868,0.00010698832327462358,998889.731478628,106.86953750713741,False,
2020-01-22,NFLX,0.06632813205597524,-0.035816814656217444,-0.0023756624123419797,998889.731478628,-2373.02478914815,False,
2020-01-22,NKE,0.06767478755154595,-0.0008606231182760604,-5.824248669128139e-05,998889.731478628,-58.17782189170163,False,
2020-01-22,NSC,0.0670836300183103,-0.007232898850825675,-0.0004852091104686514,998889.731478628,-484.67039806701507,False,
2020-01-22,NTAP,0.06275489540308189,-0.0014861319443031373,-9.32620547199221e-05,998889.731478628,-93.1585087963281,False,
2020-01-22,NTRS,0.06747983772105243,-0.03232939252184408,-0.0021815821609942445,998889.731478628,-2179.160018994106,False,
2020-01-22,OXY,0.06237853527510854,-0.02324004481925035,-0.0014496799555527113,998889.731478628,-1448.0704215319972,False,
2020-01-22,PEP,0.06778753747600237,0.010714819300163159,0.0007263312148584036,998889.731478628,725.5247921744564,False,
2020-01-22,PLD,0.06894022441981734,-0.017055532684136288,-0.0011758122508438854,998889.731478628,-1174.5067835147297,False,
2020-01-22,VLO,0.06506731353214382,-0.006980578985240626,-0.00045420752146854617,998889.731478628,-453.70322915528925,False,
2020-01-22,VMC,0.06752615869920595,-0.0005642673983883295,-3.810280989235841e-05,998889.731478628,-38.060505541959095,False,
2020-01-22,VRSK,0.06762751693027305,0.014197106279024707,0.0009601150452456292,998889.731478628,959.0490597339973,False,
2020-01-22,VRSN,0.06736464250776329,-0.001632186623441445,-0.0001099516683940862,998889.731478628,-109.82959251779593,False,
2020-01-23,A,0.06802000778969294,-0.011760763240826089,-0.000799967207253725,993453.6183507924,-794.7303166081914,False,
2020-01-23,NEE,0.0690922334907576,0.0006925459023017222,4.7849543184897996e-05,993453.6183507924,47.536301813469414,False,
2020-01-23,NEM,0.06727999221235788,-0.0018272731518497176,-0.00012293892342629963,993453.6183507924,-122.13411831400839,False,
2020-01-23,NFLX,0.0643024133685999,0.07239266014766854,0.004655022757667951,993453.6183507924,4624.54920211051,False,
2020-01-23,NKE,0.06798653837052719,-0.014068343867895017,-0.0009564580001844155,993453.6183507924,-950.1966610837704,False,
2020-01-23,NSC,0.06696284310481472,0.026927248386030334,0.0018031251089181246,993453.6183507924,1791.3211637938775,False,
2020-01-23,NTAP,0.0630045137016714,0.001653687317718422,0.00010418976526747054,993453.6183507924,103.50769930008833,False,
2020-01-23,NTRS,0.06565556333740975,-0.009423166635972868,-0.000618683313907083,993453.6183507924,-614.6331768142509,False,
2020-01-23,OXY,0.06126225402498959,-0.017787027985196602,-0.001089673426778713,993453.6183507924,-1082.5400086540196,False,
2020-01-23,PEP,0.0688887720926396,0.0018830311373789765,0.00012971970286624425,993453.6183507924,128.87050818386,False,
2020-01-23,PLD,0.06813521459375435,0.018735304035506273,0.0012765339609384517,993453.6183507924,1268.177282441974,False,
2020-01-23,VLO,0.06496666469457031,-0.0012274113700109224,-7.974082291780277e-05,993453.6183507924,-79.21880905796095,False,
2020-01-23,VMC,0.06785734611063367,0.006069164635661206,0.00041183740528448037,993453.6183507924,409.14136045206874,False,
2020-01-23,VRSK,0.06896293900515961,0.009230452958175484,0.0006365591643446509,993453.6183507924,632.3920051125501,False,
2020-01-23,VRSN,0.06762270410242154,0.004344004626458675,0.00029375333947456516,993453.6183507924,291.83031800363545,False,
2020-01-24,A,0.06683964752249963,-0.009093943655203773,-0.0006078359885032921,999107.4911014723,-607.2934894747076,False,
2020-01-24,NEE,0.068748824600864,0.013995750678132524,0.0009621914085283563,999107.4911014723,961.3326441341578,False,
2020-01-24,NEM,0.0667770166692605,0.013501147420762694,0.0009015663463704138,999107.4911014723,900.7616903836652,False,
2020-01-24,NFLX,0.06856721127804734,0.010183146937646992,0.0006982299875490421,999107.4911014723,697.6068110719357,False,
2020-01-24,NKE,0.06665076228069063,-0.009609764084923977,-0.0006404981015977865,999107.4911014723,-639.9264513426203,False,
2020-01-24,NSC,0.06837682686776103,-0.003595225529963275,-0.0002458301136128533,999107.4911014723,-245.61070804892773,False,
2020-01-24,NTAP,0.06275157614876702,-0.012547438094145269,-0.0007873715170366969,999107.4911014723,-786.6687809512944,False,
2020-01-24,NTRS,0.06466884130191453,-0.023541817578808355,-0.0015224220649625792,999107.4911014723,-1521.0632897222852,False,
2020-01-24,OXY,0.059832068574417266,-0.007055485273537165,-0.00042214427871206683,999107.4911014723,-421.76751118685377,False,
2020-01-24,PEP,0.06862792143793058,-0.005081766505782848,-0.0003487510725247722,999107.4911014723,-348.4398090891728,False,
2020-01-24,PLD,0.06901895278724463,0.004702242340510088,0.00032454384209384843,999107.4911014723,324.2541838268173,False,
2020-01-24,VLO,0.06451973374043958,-0.0027929839574745152,-0.00018020258127757495,999107.4911014723,-180.04174887024703,False,
2020-01-24,VMC,0.06788285343649268,-0.014309717459796922,-0.0009713844530410148,999107.4911014723,-970.5174837727843,False,
2020-01-24,VRSK,0.06920563994136934,0.0012113685090768822,8.383353287548811e-05,999107.4911014723,83.75871070140172,False,
2020-01-24,VRSN,0.06753212341230123,-0.010557177134014606,-0.000712948589099799,999107.4911014723,-712.3122761398347,False,
2020-01-27,A,0.06646237107060687,-0.01926132490924648,-0.0012801533234298628,995641.5635929916,-1274.5738565784732,False,
