ticker,ret_5d,rv_z
USO,0.17618962695150264,1.655
MELI,0.05182743597631023,1.27
XPO,0.047703667443066644,1.219
EWS,0.024628768205127605,1.213
NU,0.009272407740515742,1.195
QQQ,0.019501913365369106,1.113
XLRE,0.03276246375848313,1.106
XLB,0.026889380540257246,0.827
XLK,0.0263396640993514,0.801
FDX,0.03455876845001771,0.761
SE,0.030303007143123173,0.642
PYPL,0.0030973315771096743,0.63
EEM,0.02019107458513525,0.407
XLI,0.015501952835422106,0.288
GLD,0.07181007378635806,0.236
SOFI,-0.0012602082062743714,0.232
VWO,0.018353855226279858,0.073
AMZN,0.010744969926127057,0.072
XLF,0.009785923541333341,0.018
XLP,0.009243283283727477,-0.008
XLV,0.007341786915740611,-0.098
AAXJ,0.017037043495783832,-0.167
UPS,0.006974362104366971,-0.198
SPY,0.01664882386529487,-0.289
KEX,-0.0016892819526229674,-0.499
TLT,0.011924004685059497,-0.578
IEF,0.010439413705033207,-0.598
UUP,0.0017979556047964529,-0.716
XLY,-0.00624827982849252,-0.742
IWM,0.015559290360249056,-0.824
JD,-0.024674476119707744,-0.961
MA,-0.014598097970232149,-0.988
BABA,-0.02679212592485347,-1.023
V,-0.015481330819318018,-1.069
GRAB,-0.02425880098719424,-1.284
EWT,0.009557748695139479,-1.526
XLE,-0.03689857673720487,-2.193
