theme,score,n_tickers
Rates_Macro,0.1682,5
Logistics,0.0779,5
EM_Asia,0.0539,5
Sectors,0.0211,9
US_Broad,-0.0344,3
Consumer,-0.1659,5
Fintech,-0.2013,6
