asset,horizon_days,pct_move
WTI crude,1,-0.05854472498986185
WTI crude,5,-2.99731305259735
WTI crude,20,-7.364477983646067
WTI crude,60,-3.2665973491405875
Gold,1,1.0567249760766284
Gold,5,-1.4202424956789361
Gold,20,-1.2553872076630723
Gold,60,2.0796326890028416
