date,strategy,spy
2021-01-08,1.0,1.0
2021-01-11,0.9985875890603911,0.9932591741635882
2021-01-12,1.0286059750220689,0.9934689695006729
2021-01-13,1.0218592559772723,0.9961443603235315
2021-01-14,1.0451182011380504,0.9926558824979621
2021-01-15,1.0188126930333474,0.985416782730474
2021-01-19,1.03145272756906,0.9931542364730436
2021-01-20,1.0059829769176971,1.0068981923502267
2021-01-21,0.9773500895363295,1.0078161369994771
2021-01-22,1.0365287700521904,1.0042490559610053
2021-01-25,1.0459894736287412,1.0082096333280186
2021-01-26,1.1384575394667193,1.0066358881458675
2021-01-27,1.2537331435894652,0.9820332425954497
2021-01-28,1.2360849208904978,0.9904789256941898
2021-01-29,1.2990962407828544,0.9706499445134958
2021-02-01,1.3173467757483368,0.9868069069651733
2021-02-02,1.2486221434180855,1.0007605781354358
2021-02-03,1.2704479439742153,1.001547490748514
2021-02-04,1.228455476271759,1.0129307888304675
2021-02-05,1.282399459122963,1.0169175405871134
2021-02-08,1.3159922488266365,1.0242616580891513
2021-02-09,1.2981975124906138,1.023579683166618
2021-02-10,1.3068851533236734,1.0231337580148065
2021-02-11,1.3154838530812694,1.0247861864538652
2021-02-12,1.3310014274134592,1.0298484094615858
2021-02-16,1.3085345654651128,1.0289565591579628
2021-02-17,1.308563331598329,1.0291926889726897
2021-02-18,1.2546994869247539,1.0248124408875023
2021-02-19,1.2921164740250697,1.023002645934629
2021-02-22,1.307023155298096,1.0151340000678775
2021-02-23,1.2856057956076854,1.0163667577887618
2021-02-24,1.3238653774985654,1.0275664349232634
2021-02-25,1.284387587415069,1.002806422859031
2021-02-26,1.2949117041038167,0.9976393422047706
2021-03-01,1.3500184738195011,1.0218223170370144
2021-03-02,1.340621693667245,1.013848813523723
2021-03-03,1.3407225860661878,1.000419670718174
2021-03-04,1.3281115280141487,0.9880396646860579
2021-03-05,1.352303893870278,1.0062162174276932
2021-03-08,1.442020955732281,1.0012065032872473
2021-03-09,1.4498399795280117,1.0155012419627816
2021-03-10,1.4959191438628845,1.0218223170370144
2021-03-11,1.5295310419289805,1.0321827327791726
2021-03-12,1.5625819756568133,1.0335728570138718
2021-03-15,1.5672707900032927,1.039736645618295
2021-03-16,1.532397666043083,1.038425204640503
2021-03-17,1.5378108538015633,1.0419661112893426
2021-03-18,1.496976900115468,1.0268058567878275
2021-03-19,1.521915493204038,1.0215600928766597
2021-03-22,1.5032046160711294,1.0297172173374036
2021-03-23,1.4290102136926168,1.0216125216999299
2021-03-24,1.3588054002758732,1.016419186612032
2021-03-25,1.434413916116822,1.0221371301086488
2021-03-26,1.4175344678277395,1.0386088255879555
2021-03-29,1.3888054204462976,1.0380842171792368
2021-03-30,1.4380115854971351,1.0353302231434758
2021-03-31,1.4258067210632868,1.039526770237206
2021-04-01,1.4309496893062297,1.0507527018053449
2021-04-05,1.4375068521749885,1.0658342730499524
2021-04-06,1.4294750007589943,1.0652048069946938
2021-04-07,1.4110576318805046,1.0664375647155786
2021-04-08,1.4078880066840345,1.0714997076792945
2021-04-09,1.4042681790300775,1.0792896702891388
2021-04-12,1.4011371152258536,1.0796831666176803
2021-04-13,1.3909885775654278,1.082883005761248
2021-04-14,1.4020887736708003,1.0791848126425991
2021-04-15,1.4169006167162654,1.090777906061637
2021-04-16,1.4194274403693907,1.094423750401021
2021-04-19,1.4152618243722652,1.0890467943656712
2021-04-20,1.3978427277473269,1.0810732908523797
2021-04-21,1.4153097881581975,1.0913025144703559
2021-04-22,1.403690354420574,1.081335515012734
2021-04-23,1.4217395013463565,1.0930598005559544
2021-04-26,1.4178429044608811,1.0953416950502717
2021-04-27,1.4247790496072135,1.0951056452795496
2021-04-28,1.4268280744334227,1.0947909122519204
2021-04-29,1.4332898951289452,1.1017677878590542
2021-04-30,1.41107897472092,1.094528608047561
2021-05-03,1.4200254201379892,1.0968892658427907
2021-05-04,1.4250094833764029,1.0901221855727412
2021-05-05,1.4263625052022522,1.090463173034008
2021-05-06,1.419560096981079,1.099171160337108
2021-05-07,1.4358951949077188,1.1071709182840366
2021-05-10,1.3813326359049916,1.0962072909202571
2021-05-11,1.3693774220731523,1.0864239124100872
2021-05-12,1.3254652435849188,1.0633425832185508
2021-05-13,1.3412200062465245,1.076116005535204
2021-05-14,1.3648371482420778,1.0926401298377804
2021-05-17,1.3798465993415854,1.0898598813683817
2021-05-18,1.3453630365931342,1.0804699991867535
2021-05-19,1.3173218257940047,1.0776372418500801
2021-05-20,1.3094942004313648,1.0892304153131231
2021-05-21,1.3171008809459581,1.0883386450535053
2021-05-24,1.3163770610980259,1.0994334645414672
2021-05-25,1.3092687854675806,1.0969941234893303
2021-05-26,1.3572728528630542,1.099171160337108
2021-05-27,1.404643292227056,1.0997481975690966
2021-05-28,1.3837338905745427,1.1017153590357847
2021-06-01,1.4179201370548338,1.1007449055192593
2021-06-02,1.4621477684648956,1.10247593717122
2021-06-03,1.435206617245009,1.0983842477240298
2021-06-04,1.4464051303461443,1.1084299304385588
2021-06-07,1.495502022521384,1.1073545392314887
2021-06-08,1.49349279939481,1.1075905890022106
2021-06-09,1.4662224676949607,1.105938160563152
2021-06-10,1.4783835683698092,1.111078986783775
2021-06-11,1.492540098178018,1.1129150361702858
2021-06-14,1.5041711255868897,1.1154068060456923
2021-06-15,1.5050804486685108,1.1133609613220972
2021-06-16,1.522606598044759,1.107144663850399
2021-06-17,1.5181600238725526,1.1067775019994999
2021-06-18,1.5035451528114836,1.0882862162302354
2021-06-21,1.5289876275228658,1.103866061405919
2021-06-22,1.5382229653806658,1.1097675458059828
2021-06-23,1.5550961642638625,1.1084299304385583
2021-06-24,1.5832843510238497,1.114987135327518
2021-06-25,1.5756636809925948,1.1189476326505265
2021-06-28,1.5712405384544428,1.1212033527552112
2021-06-29,1.5749626911282015,1.1218066444208374
2021-06-30,1.5827680944174556,1.122750843503725
2021-07-01,1.6015571997533382,1.1289670609314182
2021-07-02,1.5598964053022366,1.1375963649776106
2021-07-06,1.5544195836067034,1.135524265820378
2021-07-07,1.5353338174619233,1.139537272010661
2021-07-08,1.5230676358637474,1.1302523275195775
2021-07-09,1.541158235600808,1.1423175204800595
2021-07-12,1.5356894954386442,1.14640920992725
2021-07-13,1.5158841646366943,1.1425011414275117
2021-07-14,1.483332445533202,1.14420599868984
2021-07-15,1.4662447539682166,1.1402979301901017
2021-07-16,1.4606576974881698,1.13135389311628
2021-07-19,1.460638300692906,1.1146461478662515
2021-07-20,1.4972259142780873,1.130619489370477
2021-07-21,1.5092282708074147,1.1397733217813832
2021-07-22,1.5282814773135158,1.1421601539662454
2021-07-23,1.5357958038606607,1.153910693943103
2021-07-26,1.5493411764646057,1.1567433712357715
2021-07-27,1.539825921458126,1.1514714329349711
2021-07-28,1.5402563218978271,1.1509992533495224
2021-07-29,1.5465297376856486,1.1557729177192464
