date,strategy,spy
2021-01-08,1.0,1.0
2021-01-11,0.9938979449736185,1.0
2021-01-12,1.0168684231702445,1.0
2021-01-13,1.0096590902111227,1.0
2021-01-14,1.0283919773199242,1.0
2021-01-15,1.0078407971946255,1.0
2021-01-19,1.013253765163572,1.0
2021-01-20,1.000087828581,1.0
2021-01-21,0.9773913916062309,1.0
2021-01-22,1.0301410105740576,1.0
2021-01-25,1.039616633285506,1.0
2021-01-26,1.10940210492077,1.0
2021-01-27,1.1994977134242555,1.0
2021-01-28,1.1818064472731127,1.0
2021-01-29,1.2260821225434273,1.0
2021-02-01,1.2446140121679112,1.0
2021-02-02,1.1955079475581094,1.0
2021-02-03,1.2163791004273703,1.0
2021-02-04,1.1841083715907261,1.0
2021-02-05,1.2281529223369572,1.0
2021-02-08,1.2568375824696465,1.0
2021-02-09,1.245558611572462,1.0
2021-02-10,1.255155727505332,1.0
2021-02-11,1.260767726625379,1.0
2021-02-12,1.2724447827249639,1.0
2021-02-16,1.2542960401700685,1.0
2021-02-17,1.2525143532780536,1.0
2021-02-18,1.20572003566097,1.0
2021-02-19,1.2403944678549643,1.0
2021-02-22,1.248859613458704,1.0
2021-02-23,1.2313778053198214,1.0
2021-02-24,1.2610375947039179,1.0
2021-02-25,1.2206871976666012,1.0
2021-02-26,1.2283191475635407,1.0
2021-03-01,1.279889868293834,1.0
2021-03-02,1.269484788967142,1.0
2021-03-03,1.2634526396942616,1.0
2021-03-04,1.2440706892983406,1.0
2021-03-05,1.269439005574952,1.0
2021-03-08,1.337738311405135,1.0
2021-03-09,1.341688552751976,1.0
2021-03-10,1.3784943858518086,1.0
2021-03-11,1.407908026978864,1.0
2021-03-12,1.4348432097038872,1.0
2021-03-15,1.43768531478062,1.0
2021-03-16,1.4121502666872858,1.0
2021-03-17,1.4196350478910766,1.0
2021-03-18,1.3798715938672772,1.0
2021-03-19,1.4012346269909024,1.0
2021-03-22,1.3754374343372378,1.0
2021-03-23,1.3182902643975822,1.0
2021-03-24,1.2553275758994935,1.0
2021-03-25,1.3323303789525536,1.0
2021-03-26,1.3200293156934164,1.0
2021-03-29,1.293322111064442,1.0
2021-03-30,1.3289289974456568,1.0
2021-03-31,1.3163533110875931,1.0
2021-04-01,1.3326473681446203,1.0
2021-04-05,1.3414194591714574,1.0
2021-04-06,1.341449325197308,1.0
2021-04-07,1.3295017529470436,1.0
2021-04-08,1.3235354020485315,1.0
2021-04-09,1.3226785029177002,1.0
2021-04-12,1.319011492978556,1.0
2021-04-13,1.3054075831433498,1.0
2021-04-14,1.3140319839609857,1.0
2021-04-15,1.3315001219636837,1.0
2021-04-16,1.3327078556616936,1.0
2021-04-19,1.3270890006350604,1.0
2021-04-20,1.3028772748629955,1.0
2021-04-21,1.3258206273805146,1.0
2021-04-22,1.3089180156435438,1.0
2021-04-23,1.3299272986200663,1.0
2021-04-26,1.325704412282926,1.0
2021-04-27,1.333248608440168,1.0
2021-04-28,1.3318900835577332,1.0
2021-04-29,1.330634646517307,1.0
2021-04-30,1.3088862299317001,1.0
2021-05-03,1.3158591514206568,1.0
2021-05-04,1.3215505995107684,1.0
2021-05-05,1.3241830715202945,1.0
2021-05-06,1.3186025654822384,1.0
2021-05-07,1.3324183804705103,1.0
2021-05-10,1.2757181233321593,1.0
2021-05-11,1.2665242637868483,1.0
2021-05-12,1.2235037568608675,1.0
2021-05-13,1.225384120692677,1.0
2021-05-14,1.244254980672436,1.0
2021-05-17,1.2599675431232502,1.0
2021-05-18,1.2314377199531532,1.0
2021-05-19,1.202759818191482,1.0
2021-05-20,1.2011473326886872,1.0
2021-05-21,1.2128348599671712,1.0
2021-05-24,1.214400764536607,1.0
2021-05-25,1.2122603758938408,1.0
2021-05-26,1.2614311079655556,1.0
2021-05-27,1.3117270179906915,1.0
2021-05-28,1.2906715194604923,1.0
2021-06-01,1.327574350148021,1.0
2021-06-02,1.3672181511589463,1.0
2021-06-03,1.343954289458705,1.0
2021-06-04,1.3572237021535023,1.0
2021-06-07,1.4137251840079228,1.0
2021-06-08,1.416942363310218,1.0
2021-06-09,1.4011684976234002,1.0
2021-06-10,1.3945604602262176,1.0
2021-06-11,1.4145104043707866,1.0
2021-06-14,1.4226983073703363,1.0
2021-06-15,1.425189565430733,1.0
2021-06-16,1.4316405997705364,1.0
2021-06-17,1.438717522534679,1.0
2021-06-18,1.4440988534984107,1.0
2021-06-21,1.466018062753759,1.0
2021-06-22,1.492115085364401,1.0
2021-06-23,1.5116545409195068,1.0
2021-06-24,1.5279251358802244,1.0
2021-06-25,1.5248803420603785,1.0
2021-06-28,1.5137130024446703,1.0
2021-06-29,1.5281295960158545,1.0
2021-06-30,1.5262201840935223,1.0
2021-07-01,1.5448632153744408,1.0
2021-07-02,1.5366708394727278,1.0
2021-07-06,1.5285624555244794,1.0
2021-07-07,1.5029951502415788,1.0
2021-07-08,1.493252822098818,1.0
2021-07-09,1.5089250810742536,1.0
2021-07-12,1.503164592094796,1.0
2021-07-13,1.4795904286232584,1.0
2021-07-14,1.4455095871456425,1.0
2021-07-15,1.4206135130990931,1.0
2021-07-16,1.41631150313037,1.0
2021-07-19,1.4196390681893645,1.0
2021-07-20,1.4539612441404697,1.0
2021-07-21,1.4687449594855264,1.0
2021-07-22,1.4702083887287924,1.0
2021-07-23,1.4847348539243985,1.0
2021-07-26,1.493753429613311,1.0
2021-07-27,1.4810728716280877,1.0
2021-07-28,1.487538067066289,1.0
2021-07-29,1.495591342797462,1.0
2021-07-30,1.5028998847141415,1.0
2021-08-02,1.4938361142552858,1.0
2021-08-03,1.5121732711718625,1.0
2021-08-04,1.4926502140062177,1.0
2021-08-05,1.4976814028525505,1.0
2021-08-06,1.5071519625543883,1.0
2021-08-09,1.5026256464054595,1.0
2021-08-10,1.5117296813059835,1.0
2021-08-11,1.5047980168682618,1.0
2021-08-12,1.5164991949138373,1.0
2021-08-13,1.5089760457477517,1.0
2021-08-16,1.4891791066488598,1.0
2021-08-17,1.4736450684686704,1.0
2021-08-18,1.4584398738082858,1.0
2021-08-19,1.4556140574113823,1.0
2021-08-20,1.4790270619097223,1.0
2021-08-23,1.4958771635338193,1.0
2021-08-24,1.5067883344201987,1.0
2021-08-25,1.5024141415378272,1.0
2021-08-26,1.4976582916505434,1.0
2021-08-27,1.5281057038383947,1.0
2021-08-30,1.541719223617699,1.0
2021-08-31,1.545725070899295,1.0
2021-09-01,1.5451330807366692,1.0
2021-09-02,1.5891403328250941,1.0
2021-09-03,1.5757872159295523,1.0
2021-09-07,1.556312808925606,1.0
2021-09-08,1.5318378154500851,1.0
2021-09-09,1.5400087357582983,1.0
2021-09-10,1.5262370517155928,1.0
2021-09-13,1.530234010223684,1.0
2021-09-14,1.5346619601239961,1.0
2021-09-15,1.553259778993288,1.0
2021-09-16,1.5443987792524498,1.0
2021-09-17,1.526440324647804,1.0
2021-09-20,1.4897338554733428,1.0
2021-09-21,1.495561245341135,1.0
2021-09-22,1.5226041502177312,1.0
2021-09-23,1.5654324744585078,1.0
2021-09-24,1.546938746514311,1.0
2021-09-27,1.5512261037408623,1.0
2021-09-28,1.5101789873420293,1.0
2021-09-29,1.5027975560554898,1.0
2021-09-30,1.482555937614108,1.0
2021-10-01,1.5040771542129252,1.0
2021-10-04,1.505423470175008,1.0
2021-10-05,1.4961966021088615,1.0
2021-10-06,1.4775861320415784,1.0
2021-10-07,1.4967762171921815,1.0
