date,strategy_return,benchmark_return
2020-01-02,0.0,0.0
2020-01-03,0.0,-0.007572233484322677
2020-01-06,0.0,0.0038150521769082513
2020-01-07,0.0,-0.0028117773480448305
2020-01-08,0.0,0.005329536027487647
2020-01-09,0.0,0.006780649119067839
2020-01-10,0.0,-0.002877705369570993
2020-01-13,0.0,0.006877347366428754
2020-01-14,0.0,-0.0015246225991427664
2020-01-15,0.0,0.0022598570981489097
2020-01-16,0.004265287980404515,0.008318385587676502
2020-01-17,0.0007528980272548799,0.0031125309364881115
2020-01-21,-0.005338101769185092,-0.001958199699227836
2020-01-22,-0.0062458799963911165,0.00012076228915192111
2020-01-23,0.0056737425416876165,0.0011468729613461903
2020-01-24,-0.0030875322606186304,-0.008893079091328304
2020-01-27,-0.015143427461404027,-0.016029410194896898
2020-01-28,0.0030268083038593784,0.010479179747874712
2020-01-29,-5.021835484556692e-06,-0.0008260256329346571
2020-01-30,0.0012772913929563826,0.003245354156022895
2020-01-31,-0.017179608009669937,-0.018157903510881312
2020-02-03,0.013772421094191214,0.0074285396116215985
2020-02-04,0.014777806692235222,0.015241276427948147
2020-02-05,0.018645464946290075,0.011548008938072396
2020-02-06,0.0035774880277169756,0.0033648551464744436
2020-02-07,-0.0026425988553610124,-0.005329656628371482
2020-02-10,0.000931542181672562,0.007465323231850007
2020-02-11,-0.0021099623936800685,0.001733049786473595
2020-02-12,0.0059136413026087825,0.006442771577855
2020-02-13,0.00115062525823597,-0.0010669665544831286
2020-02-14,-0.000983897529931164,0.0016021140118473998
2020-02-18,-0.0006383604703290532,-0.0025769997081124263
2020-02-19,0.004618462190245057,0.00478123511131856
2020-02-20,-0.0015588289456151226,-0.004108246574168639
2020-02-21,-0.009638913214383793,-0.010298267087080704
2020-02-24,-0.04157549988575958,-0.03316539880720826
2020-02-25,-0.042092230260576985,-0.030302149756096908
2020-02-26,-0.016092667032184784,-0.0036782149973914047
2020-02-27,-0.04182043560263761,-0.044911686145666097
2020-02-28,-0.009241742945952293,-0.004201539306138757
2020-03-02,0.039117670630918595,0.043306508301324875
2020-03-03,-0.019040627018778896,-0.02863245724019159
2020-03-04,0.03150071714907862,0.04203302533861675
2020-03-05,-0.02521330800004211,-0.033241687602835635
2020-03-06,-0.030226081740049954,-0.016531112018967953
2020-03-09,-0.10355770348767923,-0.07809447030209493
2020-03-10,0.03325921112204121,0.05174489250964487
2020-03-11,-0.06311846963480255,-0.04874844817138435
2020-03-12,-0.11381905439939,-0.09567716191402487
2020-03-13,0.08508218834771153,0.08548630309818428
2020-03-16,-0.08298677641235151,-0.10942373540494488
2020-03-17,-0.0302106975179591,0.05399206428476466
2020-03-18,-0.13108069992646101,-0.05063292285300003
2020-03-19,0.057793426665246145,0.002124977111816362
2020-03-20,0.0030390443448725093,-0.0486881698163496
2020-03-23,0.008313288794932448,-0.025568208153355143
2020-03-24,0.13279887863936995,0.09060326182884682
2020-03-25,0.07420722492113321,0.014970180880194084
2020-03-26,0.03868375432083475,0.05838980231338309
2020-03-27,-0.03490263802207016,-0.029785657253030173
2020-03-30,-0.00983913069626097,0.03247571536186511
2020-03-31,-0.016358439544638306,-0.01490538500844496
2020-04-01,-0.08214060076277416,-0.045004873340506735
2020-04-02,-0.002482462843123024,0.023075393359379692
2020-04-03,-0.02071261272638049,-0.014454192761712337
2020-04-06,0.13160747013541307,0.06716621437679282
2020-04-07,0.031045609044237504,0.0010194802770664424
2020-04-08,0.06016051310454296,0.03356841448563386
2020-04-09,0.034054740196709905,0.015217361041894195
2020-04-13,-0.028690287117927645,-0.009130152528647795
2020-04-14,0.028244706607204528,0.029492870836560936
2020-04-15,-0.0406918659003685,-0.021248101052656954
2020-04-16,-0.01926845993769727,0.004824295401707923
2020-04-17,0.047148770927847736,0.027015436689475925
2020-04-20,-0.02226574367610882,-0.017617980925449972
2020-04-21,-0.018512679819675894,-0.030363251195576146
2020-04-22,0.026193022208418584,0.022194540612888725
2020-04-23,0.020799970250092257,-7.172888144824086e-05
2020-04-24,0.008984257364166696,0.013938708741589423
2020-04-27,0.03489797250627771,0.014418442077481775
2020-04-28,0.027336626588973838,-0.004598421399664487
2020-04-29,0.03072793270297044,0.026178490817010847
2020-04-30,-0.01904888016311722,-0.009310666581320293
2020-05-01,-0.028898809404459037,-0.026473430702838252
2020-05-04,-0.001769964244584571,0.0027582260890697263
2020-05-05,-0.0015521798400502797,0.00923932379841541
2020-05-06,-0.013199381196250973,-0.006778721915009722
2020-05-07,0.012896738315950734,0.01206681680134114
2020-05-08,0.03170977523651196,0.0165461967700673
2020-05-11,-0.0027583512570883498,0.00020516194122843778
2020-05-12,-0.02726233068401699,-0.01993157802483969
2020-05-13,-0.021782514887819075,-0.01768586558320595
2020-05-14,0.010573891860157955,0.011967311946537107
2020-05-15,-0.009770890649524896,0.004596966533256808
2020-05-18,0.0424190972697368,0.030459694208066823
2020-05-19,0.003004705501376528,-0.010271182302701298
2020-05-20,0.01857183018796163,0.016988017379665044
2020-05-21,-0.004841090217434828,-0.006903943163488857
2020-05-22,0.003495309056681857,0.0018990692801170717
2020-05-26,0.01887906921162529,0.012320552737543622
2020-05-27,0.024397621394198103,0.014879003633885723
2020-05-28,0.003929381335412697,-0.0018449496288533984
2020-05-29,0.0018220925944328775,0.004455906849114788
2020-06-01,0.0032914308663459573,0.004041733830006056
2020-06-02,0.014651866125264458,0.008280146883890893
2020-06-03,0.02582802964383077,0.01330825201965502
2020-06-04,0.012057346444779078,-0.002626713253435109
2020-06-05,0.021991139777881648,0.025629532893630236
2020-06-08,0.01861808332447985,0.012087480157219055
2020-06-09,-0.020718258800925128,-0.007456694217466864
2020-06-10,-0.00016511370653849269,-0.0055800009265912776
2020-06-11,-0.05124942444195503,-0.057648948741183426
2020-06-12,0.006672886478170848,0.011975670399988259
2020-06-15,0.010337140696300005,0.009335644514194108
2020-06-16,0.023877103956988402,0.019247692222981838
2020-06-17,-0.005025448506794545,-0.004153846588902832
2020-06-18,0.0002499918538984157,0.00038501930237289095
2020-06-19,0.00645593376083826,-0.010071153195051807
2020-06-22,0.00878924696694019,0.006415177471415401
2020-06-23,-0.005411705232658994,0.00460367232715253
2020-06-24,-0.018614310325986143,-0.025508706189596886
2020-06-25,0.0184723249566646,0.010720542618582574
2020-06-26,-0.01976189674982375,-0.023751482562483606
2020-06-29,0.007813127979027846,0.014697563211208076
2020-06-30,0.01457649562277074,0.012809544787298677
2020-07-01,0.003977748871973298,0.007004811793744015
2020-07-02,0.004869408403099589,0.005506962621272482
2020-07-06,0.00649691528774898,0.01543726303379489
2020-07-07,-0.002175538042576102,-0.010313796371464123
2020-07-08,0.006073307573458773,0.007648651621585456
2020-07-09,-0.02545468942217902,-0.005692921230517234
2020-07-10,0.0213764649308969,0.01021054585285941
2020-07-13,0.007613776670000217,-0.008658962913536516
2020-07-14,0.010743901157648051,0.012959017714715637
2020-07-15,0.027699873758129084,0.009187233639839087
2020-07-16,-0.004874957780132949,-0.0032934520381920906
2020-07-17,0.008463843613389364,0.0028990699554503063
2020-07-20,-0.01736507948310291,0.008081580547216305
2020-07-21,0.015203032349243728,0.0021275358467678362
2020-07-22,0.012367865108891169,0.005692057260856531
2020-07-23,0.005334671328249145,-0.011931695745166393
2020-07-24,-0.0011229762745354217,-0.006440384652273368
2020-07-27,-0.010558974065853755,0.0072924342504456785
2020-07-28,0.005638158252652578,-0.006342391514221224
2020-07-29,0.015511136584776295,0.012298725050001957
2020-07-30,-0.011373983625668492,-0.0035679247032814887
2020-07-31,-0.0028734469261948187,0.007902202821698623
2020-08-03,0.007227172019876653,0.006952160993595191
2020-08-04,0.005301172350067197,0.003862614375942597
2020-08-05,-0.011789065525338123,0.0062109550025213345
2020-08-06,0.009685675152183174,0.006684536203731106
2020-08-07,0.009654474547505336,0.0007179157167860328
2020-08-10,0.022331124964239744,0.0029889110742402636
2020-08-11,0.0015925443851294934,-0.008254669579494611
2020-08-12,0.00417900923527127,0.013942352219447729
2020-08-13,-0.006967244487204017,-0.001807775796370037
2020-08-14,0.0033003363523089373,2.9717560858788516e-05
2020-08-17,-0.0022985366965921736,0.0031766041320859806
2020-08-18,-0.0009935797313798686,0.002160371040858866
2020-08-19,-0.007543552818671671,-0.0041637243123001655
2020-08-20,-0.005474774930458341,0.0031135656933312106
2020-08-21,-0.006028699581579502,0.0035473933172565086
2020-08-24,0.010681914917570997,0.010133151673383134
