,strategy,spy
2021-01-08,1.0,1.0
2021-01-11,0.9981379387074366,0.9932591741635882
2021-01-12,1.019991894227102,0.9934689695006729
2021-01-13,1.0489576497789035,0.9961443603235315
2021-01-14,1.0680759168496001,0.9926558824979621
2021-01-15,1.0502500696479207,0.985416782730474
2021-01-19,1.0608424938773988,0.9931542364730436
2021-01-20,1.0471363674482377,1.0068981923502267
2021-01-21,1.0332938788917503,1.0078161369994771
2021-01-22,1.0339873319073651,1.0042490559610053
2021-01-25,1.024958413207719,1.0082096333280186
2021-01-26,1.027495815585826,1.0066358881458675
2021-01-27,0.995875386692417,0.9820332425954497
2021-01-28,1.0085863219919422,0.9904789256941898
2021-01-29,0.9908005930256694,0.9706499445134958
2021-02-01,1.0133646172849409,0.9868069069651733
2021-02-02,1.0158030023613867,1.0007605781354358
2021-02-03,1.0320707990870672,1.001547490748514
2021-02-04,1.0343798187782973,1.0129307888304675
2021-02-05,1.0514993919062279,1.0169175405871134
2021-02-08,1.0739686889266822,1.0242616580891513
2021-02-09,1.0768893789825322,1.023579683166618
2021-02-10,1.0762064417438486,1.0231337580148065
2021-02-11,1.0720540968743957,1.0247861864538652
2021-02-12,1.0942322516506164,1.0298484094615858
2021-02-16,1.0915135578306425,1.0289565591579628
2021-02-17,1.0859832983545517,1.0291926889726897
2021-02-18,1.0599506842352622,1.0248124408875023
2021-02-19,1.0921693285413958,1.023002645934629
2021-02-22,1.1092058575834949,1.0151340000678775
2021-02-23,1.092598558928388,1.0163667577887618
2021-02-24,1.185707816329737,1.0275664349232634
2021-02-25,1.1577811787839345,1.002806422859031
2021-02-26,1.1342781748601196,0.9976393422047706
2021-03-01,1.1632923785826084,1.0218223170370144
2021-03-02,1.1627166677038352,1.013848813523723
2021-03-03,1.1668897957886855,1.000419670718174
2021-03-04,1.1437071105185972,0.9880396646860579
2021-03-05,1.16255901357636,1.0062162174276932
2021-03-08,1.178872734453623,1.0012065032872473
2021-03-09,1.1734441185754305,1.0155012419627816
2021-03-10,1.1885810535659007,1.0218223170370144
2021-03-11,1.2161154681515132,1.0321827327791726
2021-03-12,1.2193325142777012,1.0335728570138718
2021-03-15,1.2128409063878791,1.039736645618295
2021-03-16,1.1899409775487018,1.038425204640503
2021-03-17,1.2000680861693196,1.0419661112893426
2021-03-18,1.1778162449832417,1.0268058567878275
2021-03-19,1.1830520097699015,1.0215600928766597
2021-03-22,1.1698376802863713,1.0297172173374036
2021-03-23,1.1266215982439083,1.0216125216999299
2021-03-24,1.085568786498608,1.016419186612032
2021-03-25,1.1221880939663023,1.0221371301086488
2021-03-26,1.0952321072824978,1.0386088255879555
2021-03-29,1.079628048843513,1.0380842171792368
2021-03-30,1.0978958622371668,1.0353302231434758
2021-03-31,1.0905964555972907,1.039526770237206
2021-04-01,1.1050352838027677,1.0507527018053449
2021-04-05,1.0983739557602894,1.0658342730499524
2021-04-06,1.104846298678585,1.0652048069946938
2021-04-07,1.0982561992106694,1.0664375647155786
2021-04-08,1.091380451884204,1.0714997076792945
2021-04-09,1.0892136251312772,1.0792896702891388
2021-04-12,1.0852733052700339,1.0796831666176803
2021-04-13,1.0800678963831463,1.082883005761248
2021-04-14,1.1110976190246364,1.0791848126425991
2021-04-15,1.1035314483835352,1.090777906061637
2021-04-16,1.1058577941407435,1.094423750401021
2021-04-19,1.0984740155051134,1.0890467943656712
2021-04-20,1.0824724051341201,1.0810732908523797
2021-04-21,1.0988237228252205,1.0913025144703559
2021-04-22,1.0886818015752506,1.081335515012734
2021-04-23,1.111433064966455,1.0930598005559544
2021-04-26,1.1287107615124727,1.0953416950502717
2021-04-27,1.139756575934737,1.0951056452795496
2021-04-28,1.1350744583016794,1.0947909122519204
2021-04-29,1.129913607461085,1.1017677878590542
2021-04-30,1.1170380091024592,1.094528608047561
2021-05-03,1.1337669408280242,1.0968892658427907
2021-05-04,1.129446785566974,1.0901221855727412
2021-05-05,1.1352012886702714,1.090463173034008
2021-05-06,1.1370540528816568,1.099171160337108
2021-05-07,1.1504262061871013,1.1071709182840366
2021-05-10,1.1314529296828617,1.0962072909202571
2021-05-11,1.1304109910736402,1.0864239124100872
2021-05-12,1.1050611152124654,1.0633425832185508
2021-05-13,1.0989666914358769,1.076116005535204
2021-05-14,1.115540767649176,1.0926401298377804
2021-05-17,1.1292470597753532,1.0898598813683817
2021-05-18,1.1156191892310552,1.0804699991867535
2021-05-19,1.0910563165826266,1.0776372418500801
2021-05-20,1.0902941246459343,1.0892304153131231
2021-05-21,1.0992605621316154,1.0883386450535053
2021-05-24,1.1088712044013065,1.0994334645414672
2021-05-25,1.0954129392478058,1.0969941234893303
2021-05-26,1.1147814807455692,1.099171160337108
2021-05-27,1.1246238979728018,1.0997481975690966
2021-05-28,1.1247791846633288,1.1017153590357847
2021-06-01,1.140055151778137,1.1007449055192593
2021-06-02,1.1361797324547325,1.10247593717122
2021-06-03,1.132817165544635,1.0983842477240298
2021-06-04,1.1405585675922458,1.1084299304385588
2021-06-07,1.1381793347091316,1.1073545392314887
2021-06-08,1.1465122359134874,1.1075905890022106
2021-06-09,1.1381503390672543,1.105938160563152
2021-06-10,1.1336023496138192,1.111078986783775
2021-06-11,1.1351334013196097,1.1129150361702858
2021-06-14,1.1402436864837087,1.1154068060456923
2021-06-15,1.1408478622795886,1.1133609613220972
2021-06-16,1.1299467968497783,1.107144663850399
2021-06-17,1.1109525804148552,1.1067775019994999
2021-06-18,1.0950723656739283,1.0882862162302354
2021-06-21,1.1163216711107435,1.103866061405919
2021-06-22,1.129138138974274,1.1097675458059828
2021-06-23,1.1369930697641573,1.1084299304385583
2021-06-24,1.1450234444610263,1.114987135327518
2021-06-25,1.1349775927208323,1.1189476326505265
2021-06-28,1.1259878954358342,1.1212033527552112
2021-06-29,1.1343764911693313,1.1218066444208374
2021-06-30,1.1459988803916938,1.122750843503725
2021-07-01,1.1540836826722325,1.1289670609314182
2021-07-02,1.1547785945220674,1.1375963649776106
2021-07-06,1.1446990257351615,1.135524265820378
2021-07-07,1.142619873893826,1.139537272010661
2021-07-08,1.139629292946449,1.1302523275195775
2021-07-09,1.1556894855512807,1.1423175204800595
2021-07-12,1.1523085057047813,1.14640920992725
2021-07-13,1.14621196914056,1.1425011414275117
2021-07-14,1.123083434539965,1.14420599868984
2021-07-15,1.100370146933965,1.1402979301901017
2021-07-16,1.0975301729814737,1.13135389311628
